Order,Family,Species,Trophic guild
Tinamiformes,Tinamidae,Tinamus major,Frugivore: ground to lower canopy gleaner
Tinamiformes,Tinamidae,Crypturellus soui,Frugivore: ground to lower canopy gleaner
Tinamiformes,Tinamidae,Crypturellus cinnamomeus,Frugivore: ground to lower canopy gleaner
Tinamiformes,Tinamidae,Crypturellus boucardi,Frugivore: ground to lower canopy gleaner
Galliformes,Cracidae,Ortalis vetula,Frugivore: ground to lower canopy gleaner
Galliformes,Cracidae,Ortalis wagleri,Frugivore: ground to lower canopy gleaner
Galliformes,Cracidae,Ortalis poliocephala,Frugivore: ground to lower canopy gleaner
Galliformes,Cracidae,Ortalis leucogastra,Frugivore: ground to lower canopy gleaner
Galliformes,Cracidae,Penelope purpurascens,Frugivore: upper-canopy gleaner
Galliformes,Cracidae,Penelopina nigra,Frugivore: ground to lower canopy gleaner
Galliformes,Cracidae,Oreophasis derbianus,Frugivore: ground to lower canopy gleaner
Galliformes,Cracidae,Crax rubra,Frugivore: ground to lower canopy gleaner
Galliformes,Odontophoridae,Dendrortyx barbatus,Granivore: ground to undergrowth gleaner
Galliformes,Odontophoridae,Dendrortyx macroura,Granivore: ground to undergrowth gleaner
Galliformes,Odontophoridae,Dendrortyx leucophrys,Granivore: ground to undergrowth gleaner
Galliformes,Odontophoridae,Oreortyx pictus,Granivore: ground to undergrowth gleaner
Galliformes,Odontophoridae,Callipepla squamata,Granivore: ground to undergrowth gleaner
Galliformes,Odontophoridae,Callipepla douglasii,Granivore: ground to undergrowth gleaner
Galliformes,Odontophoridae,Callipepla californica,Granivore: ground to undergrowth gleaner
Galliformes,Odontophoridae,Callipepla gambelii,Granivore: ground to undergrowth gleaner
Galliformes,Odontophoridae,Philortyx fasciatus,Granivore: ground to undergrowth gleaner
Galliformes,Odontophoridae,Colinus virginianus,Granivore: ground to undergrowth gleaner
Galliformes,Odontophoridae,Colinus nigrogularis,Granivore: ground to undergrowth gleaner
Galliformes,Odontophoridae,Odontophorus guttatus,Granivore: ground to undergrowth gleaner
Galliformes,Odontophoridae,Dactylortyx thoracicus,Herbivores: ground forager
Galliformes,Odontophoridae,Cyrtonyx montezumae,Granivore: ground to undergrowth gleaner
Galliformes,Odontophoridae,Cyrtonyx ocellatus,Granivore: ground to undergrowth gleaner
Galliformes,Phasianidae,Bonasa umbellus,Herbivores: ground forager
Galliformes,Phasianidae,Centrocercus urophasianus,Herbivores: ground forager
Galliformes,Phasianidae,Falcipennis canadensis,Herbivores: ground forager
Galliformes,Phasianidae,Lagopus lagopus,Herbivores: ground forager
Galliformes,Phasianidae,Lagopus muta,Herbivores: ground forager
Galliformes,Phasianidae,Lagopus leucura,Herbivores: ground forager
Galliformes,Phasianidae,Dendragapus obscurus,Herbivores: ground forager
Galliformes,Phasianidae,Tympanuchus phasianellus,Granivore: ground to undergrowth gleaner
Galliformes,Phasianidae,Tympanuchus cupido,Granivore: ground to undergrowth gleaner
Galliformes,Phasianidae,Tympanuchus pallidicinctus,Granivore: ground to undergrowth gleaner
Galliformes,Phasianidae,Meleagris gallopavo,Herbivores: ground forager
Galliformes,Phasianidae,Meleagris ocellata,Herbivores: ground forager
Accipitriformes,Cathartidae,Coragyps atratus,Scavengers
Accipitriformes,Cathartidae,Cathartes aura,Scavengers
Accipitriformes,Cathartidae,Cathartes burrovianus,Scavengers
Accipitriformes,Cathartidae,Gymnogyps californianus,Scavengers
Accipitriformes,Cathartidae,Sarcoramphus papa,Scavengers
Accipitriformes,Pandionidae,Pandion haliaetus,Carnivore: freshwater-forager
Accipitriformes,Accipitridae,Leptodon cayanensis,Insectivore: upper canopy foliage gleaner
Accipitriformes,Accipitridae,Chondrohierax uncinatus,Carnivore: ground-hawker
Accipitriformes,Accipitridae,Elanoides forficatus,Insectivore: air hawker above canopy
Accipitriformes,Accipitridae,Elanus leucurus,Carnivore: ground-hawker
Accipitriformes,Accipitridae,Rostrhamus sociabilis,Carnivore: freshwater-forager
Accipitriformes,Accipitridae,Harpagus bidentatus,Insectivore: upper canopy foliage gleaner
Accipitriformes,Accipitridae,Ictinia mississippiensis,Insectivore: air hawker above canopy
Accipitriformes,Accipitridae,Ictinia plumbea,Insectivore: air hawker above canopy
Accipitriformes,Accipitridae,Haliaeetus leucocephalus,Carnivore: freshwater-forager
Accipitriformes,Accipitridae,Busarellus nigricollis,Carnivore: freshwater-forager
Accipitriformes,Accipitridae,Circus cyaneus,Carnivore: ground-hawker
Accipitriformes,Accipitridae,Accipiter striatus,Carnivore: air-hawker
Accipitriformes,Accipitridae,Accipiter cooperii,Carnivore: air-hawker
Accipitriformes,Accipitridae,Accipiter bicolor,Carnivore: air-hawker
Accipitriformes,Accipitridae,Accipiter gentilis,Carnivore: arboreal-hawker
