siteID,sitename,siteNumInCensus,year,established,ts_length,cov_hours,cov_visits,cov_times,cov_notes,area,richness,territories,terr_notes,weather
1,LOWLAND HARDWOOD RIPARIAN,11988.0,1988.0,1937.0,3.0,15.0,221.0,, mean length of visits 6.5 h (SD = 1); 17 April to 11 July; 0530-1330 PST; 1-3 observers per visit; three 2-hr nocturnal visits were made.,13.7,36.0,144.0,1051/km2,"Temperature range 3-29°C. Persistent rain was avoided and no fog was encountered. Wind was either up or down canyon and would often reach 40 kph in treetops, but was considerably less near the ground. The preceding winter was unusually dry and herbaceous cover began to dry out at least one month early. However, rainfall in April and early May was unusually high, which extended the life of much herbaceous cover."
2,OAK-HARDWOOD FOREST,21988.0,1988.0,1987.0,,12.0,22.0,," 1 June-2 July; 0530-0800 (9 visits), 1700-1930 (3 visits).",15.7,18.0,65.0,414/ km2,Mostly clear to partly cloudy; only one census was carried out under rainy conditions; temperatures ranged from 4.5-21°C.
3,SECOND-GROWTH HARDWOOD FOREST,31988.0,1988.0,1964.0,22,12.0,,,,10.1,40.0,117.5,1163/km2,During the census period the minimum temperature varied from 4-14°C with an average of 9°. The maximum temperature ranged from 14-29°C with an average of 24°. The total precipitation for the 10-day period was 0.46 cm.
4,UPLAND BRUSHY PASTURE,41988.0,1988.0,1965.0,22,12.0,,,,8.5,28.0,85.0,1000/km2,"During the census period the minimum terperature varied from 2.8713.9°C (average 83°); high temperatures ranged from 14.4-28.9°C (average 23.9""). The total precipitation for the 11-day period was 0.5 cm."
5,MIXED DECIDUOUS SECOND-GROWTH,51988.0,1988.0,1983.0,6,14.0,41,, 1 June-30 July; 0530-0830 most days.,29.1,29.0,141.0,484/km2,June and July extremely hot and dry. Temperatures above average for both months. Rainfall far below normal.
6,MATURE DECIDUOUS FLOODPLAIN FOREST,61988.0,1988.0,1947.0,36,24.0,70,," 9 April-19 June; 0630-0800 (9 visits); 0810-0930 (14 visits), 1345 (1 visit).",7.6,26.0,75.5,993/km2,
7,MATURE BEECH-MAPLE FOREST,71988.0,1988.0,1987.0,,10.0,10,, 14 June-15 July; 6 morning and 4 afternoon visits.,16.2,20.0,37.0,228/km2,Nine sunny and one cloudy day; mean temperature 24°C.
8,WHITE ASH-RED MAPLE FOREST,81988.0,1988.0,1986.0,3,10.0,10,," 13729 June; 0600-0830 (8), 193042030 (2).",16.2,26.0,56.0,345/km2,Seven sunny and 3 cloudy days; mean temperature 19°C.
9,BEECH-MAPLE FOREST,91988.0,1988.0,1987.0,,10.0,10,," 14 June-15 July; 09001045 (6 visits), 1400-1950 (4 visits).",16.2,19.0,47.0,290/km2,Nine sunny days and one cloudy day; mean temperature 25°C.
10,ABANDONED ORCHARD,101988.0,1988.0,1987.0,,10.0,10,," 14 June-9 July; 0815-1130 (7), 1630-1930 (3).",16.2,14.0,41.0,253/km2,Eight sunny and two cloudy days; mean temperature 25°C.
11,ABANDONED APPLE ORCHARD,111988.0,1988.0,1987.0,,10.0,10,," 14 June-1 5 July; 0920-1015 (6 Visits), 1235-1920 (4 visits).",16.2,16.0,43.0,265/km2,Nine sunny and one cloudy day; mean temperature 27°C.
