siteID,year,species,count,status
1,1988.0,Black-headed Grosbeak,17.0,breeder
1,1988.0,House Wren,15.0,breeder
1,1988.0,Rufous-sided Towhee,10.0,breeder
1,1988.0,Brown Towhee,7.0,breeder
1,1988.0,Orange-crowned Warbler,6.0,breeder
1,1988.0,Lesser Goldfinch,6.0,breeder
1,1988.0,Steller's Jay,55,breeder
1,1988.0,Western Wood-Pewee,5.0,breeder
1,1988.0,Bushtit,5.0,breeder
1,1988.0,Song Sparrow,5.0,breeder
1,1988.0,Purple Finch,5.0,breeder
1,1988.0,Dark-eyed Junco,4.5,breeder
1,1988.0,Allen's Hummingbird,4.0,breeder
1,1988.0,Nuttall's Woodpecker,4.0,breeder
1,1988.0,Brown Creeper,4.0,breeder
1,1988.0,Solitary Vireo,4.0,breeder
1,1988.0,Warbling Vireo,4.0,breeder
1,1988.0,Western Flycatcher,3.5,breeder
1,1988.0,American Robin,3.5,breeder
1,1988.0,California Quail,3.0,breeder
1,1988.0,Anna's Hummingbird,3.0,breeder
1,1988.0,Northern Flicker,3.0,breeder
1,1988.0,Downy Woodpecker,2.5,breeder
1,1988.0,Chestnut-backed Chickadee,2.5,breeder
1,1988.0,Western Tanager,2.5,breeder
1,1988.0,Wilson's Warbler,2.0,breeder
1,1988.0,Black Phoebe,1.5,breeder
1,1988.0,Violet-green Swallow,41.0,breeder
1,1988.0,Scrub Jay,1.0,breeder
1,1988.0,European Starling,1.0,breeder
1,1988.0,Hutton's Vireo,1.0,breeder
1,1988.0,Cooper's Hawk,0.5,breeder
1,1988.0,Acorn Woodpecker,0.5,breeder
1,1988.0,Ash-throated Flycatcher,0.5,breeder
1,1988.0,Plain Titmouse,0.5,breeder
1,1988.0,Bewick's Wren,+,breeder
1,1988.0,Green-backed Heron,,visitor
1,1988.0,Turkey Vulture,,visitor
1,1988.0,Red-shouldered Hawk,,visitor
1,1988.0,Red-tailed Hawk,,visitor
1,1988.0,Wild Turkey,,visitor
1,1988.0,Mourning Dove,,visitor
1,1988.0,Western Screech-Owl,,visitor
1,1988.0,Great Horned Owl,,visitor
1,1988.0,Belted Kingfisher,,visitor
1,1988.0,Pileated Woodpecker,,visitor
1,1988.0,Barn Swallow,,visitor
1,1988.0,Common Raven,,visitor
1,1988.0,White-breasted Nuthatch,,visitor
1,1988.0,Winter Wren,,visitor
1,1988.0,Blue-gray Gnatcatcher,,visitor
1,1988.0,Wrentit,,visitor
1,1988.0,Brewer's Blackbird,,visitor
1,1988.0,Brown-headed Cowbird,,visitor
1,1988.0,House Finch,,visitor
1,1988.0,American Goldfinch,,visitor
2,1988.0,Ovenbird,15.0,breeder
2,1988.0,Eastern Wood-Pewee,9.5,breeder
2,1988.0,Red-eyed Vireo,9.0,breeder
2,1988.0,Wood Thrush,5.5,breeder
2,1988.0,Scarlet Tanager,4.0,breeder
2,1988.0,Yellow-bellied Sapsucker,2.5,breeder
2,1988.0,Rose-breasted Grosbeak,2.5,breeder
2,1988.0,Blue Jay,2.0,breeder
2,1988.0,Winter Wren,2.0,breeder
2,1988.0,Hermit Thrush,2.0,breeder
2,1988.0,American Robin,2.0,breeder
2,1988.0,Black-and-white Warbler,2.0,breeder
2,1988.0,White-breasted Nuthatch,1.5,breeder
2,1988.0,Veery,1.5,breeder
2,1988.0,Pileated Woodpecker,1.0,breeder
2,1988.0,Black-capped Chickadee,1.0,breeder
2,1988.0,Black-throated Blue Warbler,1.0,breeder
2,1988.0,Common Yellowthroat,1.0,breeder
2,1988.0,Ruby-throated Hummingbird,,visitor
2,1988.0,Hairy Woodpecker,,visitor
2,1988.0,Downy Woodpecker,,visitor
2,1988.0,American Crow,,visitor
2,1988.0,Cedar Waxwing,,visitor
2,1988.0,Yellow-throated Vireo,,visitor
2,1988.0,Solitary Vireo,,visitor
2,1988.0,American Redstart,,visitor
2,1988.0,Louisiana Waterthrush,,visitor
2,1988.0,Northern Oriole,,visitor
2,1988.0,Rufous-sided Towhee,,visitor
3,1988.0,Red-eyed Vireo,16.0,breeder
3,1988.0,Ovenbird,15.0,breeder
3,1988.0,Veery,14.0,breeder
3,1988.0,Wood Thrush,9.0,breeder
3,1988.0,Scarlet Tanager,5.0,breeder
3,1988.0,American Robin,4.0,breeder
3,1988.0,Common Yellowthroat,4.0,breeder
3,1988.0,American Redstart,3.5,breeder
3,1988.0,Downy Woodpecker,3.0,breeder
3,1988.0,Northern Flicker,30,breeder
3,1988.0,Eastern Wood-Pewee,3.0,breeder
3,1988.0,Northern Oriole,3.0,breeder
3,1988.0,Gray Catbird,2.5,breeder
3,1988.0,Rufous-sided Towhee,2.5,breeder
3,1988.0,Blue Jay,2.0,breeder
3,1988.0,Black-capped Chickadee,2.0,breeder
3,1988.0,Blue-gray Gnatcatcher,2.0,breeder
3,1988.0,Blue-winged Warbler,2.0,breeder
3,1988.0,Chestnut-sided Warbler,2.0,breeder
3,1988.0,Great Crested Flycatcher,1.5,breeder
3,1988.0,Yellow-throated Vireo,1.5,breeder
3,1988.0,Black-and-white Warbler,1.5,breeder
3,1988.0,Brown-headed Cowbird,1.5,breeder
3,1988.0,Ruffed Grouse,1.0,breeder
3,1988.0,Ruby-throated Hummingbird,1.0,breeder
3,1988.0,Hairy Woodpecker,1.0,breeder
3,1988.0,Eastern Phoebe,1.0,breeder
3,1988.0,American Crow,1.0,breeder
3,1988.0,Tufted Titmouse,1.0,breeder
3,1988.0,White-breasted Nuthatch,1.0,breeder
3,1988.0,House Wren,1.0,breeder
3,1988.0,Louisiana Waterthrush,1.0,breeder
3,1988.0,Hooded Warbler,1.0,breeder
3,1988.0,Northern Cardinal,1.0,breeder
3,1988.0,Rose-breasted Grosbeak,1.0,breeder
3,1988.0,Song Sparrow,1.0,breeder
3,1988.0,Barred Owl,0.5,breeder
3,1988.0,Yellow-rumped Warbler,0.5,breeder
3,1988.0,Turkey Vulture,+,breeder
3,1988.0,Pileated Woodpecker,+,breeder
4,1988.0,Gray Catbird,11.0,breeder
4,1988.0,Red-eyed Vireo,9.0,breeder
4,1988.0,Wood Thrush,7.0,breeder
4,1988.0,Veery,6.0,breeder
4,1988.0,Chestnut-sided Warbler,5.5,breeder
4,1988.0,Black-capped Chickadee,5.0,breeder
4,1988.0,Rufous-sided Towhee,5.0,breeder
4,1988.0,Black-and-white Warbler,4.0,breeder
4,1988.0,Blue Jay,3.0,breeder
4,1988.0,Blue-winged Warbler,3.0,breeder
4,1988.0,American Redstart,3.0,breeder
4,1988.0,Ovenbird,3.0,breeder
4,1988.0,Common Yellowthroat,3.0,breeder
4,1988.0,Rose-breasted Grosbeak,3.0,breeder
4,1988.0,American Robin,2.0,breeder
4,1988.0,Northern Cardinal,2.0,breeder
4,1988.0,American Goldfinch,2.0,breeder
4,1988.0,Northern Flicker,1.5,breeder
4,1988.0,Ruffed Grouse,1.0,breeder
4,1988.0,American Woodcock,1.0,breeder
4,1988.0,Great Crested Flycatcher,1.0,breeder
4,1988.0,Brown Thrasher,1.0,breeder
4,1988.0,Yellow-throated Vireo,1.0,breeder
4,1988.0,Eastern Wood-Pewee,0.5,breeder
4,1988.0,American Crow,0.5,breeder
4,1988.0,Tufted Titmouse,0.5,breeder
