"xllcorner","yllcorner","cellsize","nrows","ncols","band","units","scale","latitude","longitude","site","product","start","end","complete","modis_date","calendar_date","tile","proc_date","pixel","value"
"-10665690.36","4255064.03","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.26667,-122.16667,"  1","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h08v05","2015189212346",1,3912
"-10665690.36","4255064.03","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.26667,-122.16667,"  1","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h08v05","2015190120415",1,3461
"-10665690.36","4255064.03","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.26667,-122.16667,"  1","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h08v05","2015190221910",1,2845
"-10665690.36","4255064.03","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.26667,-122.16667,"  1","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h08v05","2015191094958",1,3126
"-10665690.36","4255064.03","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.26667,-122.16667,"  1","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h08v05","2015192143700",1,2583
"-10665690.36","4255064.03","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",38.26667,-122.16667,"  1","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h08v05","2015192143658",1,3137
"-6077967.88","4657219.39","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",41.88333,-73.41667,"  2","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h12v04","2015189212107",1,5262
"-6077967.88","4657219.39","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",41.88333,-73.41667,"  2","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h12v04","2015190122258",1,7618
"-6077967.88","4657219.39","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",41.88333,-73.41667,"  2","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h12v04","2015190223549",1,-3000
"-6077967.88","4657219.39","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",41.88333,-73.41667,"  2","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h12v04","2015191095942",1,7040
"-6077967.88","4657219.39","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",41.88333,-73.41667,"  2","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h12v04","2015192135920",1,6104
"-6077967.88","4657219.39","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",41.88333,-73.41667,"  2","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h12v04","2015192141938",1,6709
"-6077272.89","4636833.67","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",41.7,-73.2,"  3","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h12v04","2015189212107",1,5937
"-6077272.89","4636833.67","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",41.7,-73.2,"  3","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h12v04","2015190122258",1,7083
"-6077272.89","4636833.67","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",41.7,-73.2,"  3","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h12v04","2015190223549",1,922
"-6077272.89","4636833.67","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",41.7,-73.2,"  3","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h12v04","2015191095942",1,7470
"-6077272.89","4636833.67","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",41.7,-73.2,"  3","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h12v04","2015192135920",1,6169
"-6077272.89","4636833.67","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",41.7,-73.2,"  3","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h12v04","2015192141938",1,6056
