"xllcorner","yllcorner","cellsize","nrows","ncols","band","units","scale","latitude","longitude","site","product","start","end","complete","modis_date","calendar_date","tile","proc_date","pixel","value"
"-10665690.36","4255064.03","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",38.26667,-122.16667,"  1","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h08v05","2015189212346",1,6109
"-10665690.36","4255064.03","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",38.26667,-122.16667,"  1","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h08v05","2015190120415",1,5703
"-10665690.36","4255064.03","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",38.26667,-122.16667,"  1","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h08v05","2015190221910",1,4727
"-10665690.36","4255064.03","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",38.26667,-122.16667,"  1","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h08v05","2015191094958",1,4673
"-10665690.36","4255064.03","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",38.26667,-122.16667,"  1","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h08v05","2015192143700",1,4105
"-10665690.36","4255064.03","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",38.26667,-122.16667,"  1","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h08v05","2015192143658",1,4692
"-6077967.88","4657219.39","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.88333,-73.41667,"  2","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h12v04","2015189212107",1,7916
"-6077967.88","4657219.39","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.88333,-73.41667,"  2","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h12v04","2015190122258",1,9076
"-6077967.88","4657219.39","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.88333,-73.41667,"  2","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h12v04","2015190223549",1,-3000
"-6077967.88","4657219.39","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.88333,-73.41667,"  2","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h12v04","2015191095942",1,9327
"-6077967.88","4657219.39","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.88333,-73.41667,"  2","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h12v04","2015192135920",1,9176
"-6077967.88","4657219.39","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.88333,-73.41667,"  2","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h12v04","2015192141938",1,9221
"-6077272.89","4636833.67","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.7,-73.2,"  3","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h12v04","2015189212107",1,8547
"-6077272.89","4636833.67","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.7,-73.2,"  3","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h12v04","2015190122258",1,8828
"-6077272.89","4636833.67","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.7,-73.2,"  3","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h12v04","2015190223549",1,659
"-6077272.89","4636833.67","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.7,-73.2,"  3","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h12v04","2015191095942",1,8977
"-6077272.89","4636833.67","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.7,-73.2,"  3","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h12v04","2015192135920",1,8782
"-6077272.89","4636833.67","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.7,-73.2,"  3","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h12v04","2015192141938",1,8920
"-6078662.85","4636833.67","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.7,-73.21667,"  4","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h12v04","2015189212107",1,8423
"-6078662.85","4636833.67","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.7,-73.21667,"  4","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009145","2009-05-25","h12v04","2015190122258",1,8724
"-6078662.85","4636833.67","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.7,-73.21667,"  4","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009161","2009-06-10","h12v04","2015190223549",1,646
"-6078662.85","4636833.67","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.7,-73.21667,"  4","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009177","2009-06-26","h12v04","2015191095942",1,7638
"-6078662.85","4636833.67","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.7,-73.21667,"  4","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009193","2009-07-12","h12v04","2015192135920",1,8765
"-6078662.85","4636833.67","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.7,-73.21667,"  4","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009209","2009-07-28","h12v04","2015192141938",1,8973
"-7276094.51","4655366.21","231.656358264",1,1,"250m_16_days_NDVI","NDVI ratio - No units","0.0001",41.86667,-87.86667,"  5","MOD13Q1","2009-05-01","2009-07-31",TRUE,"A2009129","2009-05-09","h11v04","2015189212018",1,4584
