siteID,sitename,latitude,longitude,location,description
1,LOWLAND HARDWOOD RIPARIAN,38.266666666666666,122.16666666666667,"California; Solano Co.; Cordelia; 38°16'N, 122°10'W.","About 2280 m of generally SE-fiowing stream in a steep (mean slope 16°) canyon between 46 and 137 in elevation. Plot extends 30 m to either side of stream. The narrow riparian strip (IO-20 m wide) is bordered by residential property for the lower 100 m and by fallow fig/ walnut orchard for an additional 250 m. The remaining 1930 m grades away from the stream into mostly undisturbed native bay-oak woodland, which comprises much of the plot. There is one residence and several small water treatment buildings above the orchard and a dirt road follows the creek through about half of the plot. Stream fiow is regulated by a IOU-year old darn upstream of the plot and some How is present at all times. A quantitative vegetation survey was conducted following a modified version of the method described by James and Shugart (1970. Aud.Field Notes 242727-736). Tree diameters (26 cm; n = 410) were measured in 30 evenly spaced 0.04 ha (60 X 6.6 m) rectangles situated perpendicularly to the stream fiow. Total tree density 342/ha, total basal area 99 mZ/ha. Species comprising 96% of total trees [figures after each give trees/ ha, relative density (%), relative dominance ('70) and frequency, respectively]: California Bay 117, 34, 26, 18; Coast Live Oak 75, 22, 26, 21; California Buckeye 38, 11, 3, 14; White Alder 27, 8, 16, 13; Bigleaf Maple 20,6, 17, 13; willow 18, 5, 2.5, 10; walnut 13, 4, 1.5, 2; dead trees 7, 2, 1, 4; Blue Elderberry 7, 2, 0.5, 5; Valley Oak 5, 1, 4, 2; Oregon Ash 5, 1, 1, 3. Trees by diameter class [figures after each give trees/ha, relative density, basal area (tha) and relative dominance, respectively]: A (6-15.5 cm) 144, 42, 5.8, 6; B (16-25.5 cm) 66, 19, 9.2, 9.5, C (26-355 cm) 59, 17, 17.8, 18; D (36-455 cm) 32, 9, 16.5, 17; E (46-555 cm) 16, 5, 12.8, 13; F (56-655 cm) 13, 4, 15.4, 15.5, G (66-755 cm) 9, 3, 13.1, 13, H (76-855 cm) 1, 0.5, 1.7, 1.5, I (8695.5 cm) 2, 0.5, 6.5, 6.5. Shrub cover was measured by line-intercept along 60 m transects at each of 30 sampling stations. Approximate total shrub cover 30%. Shrubs by species [figures after each give % coverage of total area and frequency, respectively]: White-stemmed Raspberry 8, 28; willow 4, 5; California Wild Grape 3.5, 19; Poison Oak 3, 16; Toyon 2.5, 10; French Broom 2, 6; Common Snowberry 1.5, 7; Winter Currant 1, 1; Chain Fern 1, 10; California Bay 1, 9; Chaparral Broom 1, 7; Bush Monkeyflower 0.5, 5; Bracken 0.5, 7; California Buckeye 0.5, 6; Spice Bush 0.5, 6; others 1.5, -. Canopy cover 74%, mean canopy height, based on absolute heights of 186 randomly selected trees, 11.5 m (SD = 6.5; range 3-42 In). Ground cover (%): litter & soil 40, herbaceous 30, shrub 15.5, rock 7, manmade 5, water 2.5."
2,OAK-HARDWOOD FOREST,41.88333333333333,73.41666666666667,"Connecticut; Litchfield Co.; Sharon; 41°53'N, 73°25'W; Sharon Quadrangle, USGS.","Dominant canopy trees: Red Maple, Northern Red Oak, Black Birch; dominant shrubs: Witch Hazel, Striped Maple; ground cover: Wild Sarsaparilla, blueberry. Water: No stream present, swamp with standing water 20.0 m across, 0.5 m deep. The swamp dries up in the summer."
2,OAK-HARDWOOD FOREST,41.88333333333333,73.41666666666667,"Connecticut; Litchfield Co.; Sharon; 41°53'N, 73°25'W; Sharon Quadrangle, USGS.",See ]. Field Omit/101. 60(suppl.):26.
3,SECOND-GROWTH HARDWOOD FOREST,41.7,73.2,"Connecticut; Litchfield Co.; Morris; 41°42'N, 73°12'W; Litchfield Quadrangle, USGS.",See Aud. Field Notes 19:590-591 (1965).
3,SECOND-GROWTH HARDWOOD FOREST,41.7,73.2,"Connecticut; Litchfield Co.; Morris; 41°42'N, 73°12'W; Litchfield Quadrangle, USGS.",See Aud. Field Notes 19:590-591 (1965).
3,SECOND-GROWTH HARDWOOD FOREST,41.7,73.2,"Connecticut; Litchfield Co.; Morris; White Memorial Foundation; 41°42'N, 73°12'W; Litchfield Quadrangle, USGS.",See Aud. Field Notes 19:590-591 (1965).
3,SECOND-GROWTH HARDWOOD FOREST,41.7,73.2,"Connecticut; Litchfield Co.; Morris; White Memorial Foundation; 41°42'N, 73°12'W; Litchfield Quadrangle, USGS.",See Aud. Field Notes 19:590-591 (1965).
3,SECOND-GROWTH HARDWOOD FOREST,41.7,73.2,"Connecticut; Litchfield Co.; Morris; White Memorial Foundation; 41°42'N, 73°12'W; Litchfield Quadrangle, USGS.","Aud. Field Notes 19:590-591 (1965). This relatively open young forested area appeared to contain vegetation typical of a lower slope site type. No conifers were recorded in the tree stratum, and very few were seen thoughout the tract. A quantitative vegetation survey based on 5 0.04 ha circular samples yielded the following results: Trees, 3.0 cm diameter and over, [figures after each are number of trees and average dbh in cm] White Ash, 45, 21.6; Sugar Maple, 38, 12.5; Shagbark Hickory, 18, 17.0; Yellow Birch, 15, 8.5; American Hornbeam, 6, 4.6; Red Oak, 5, 20.1; hickory sp., 4, 5.5; Black Cherry, 2, 10.4; Striped Maple, 2, 8.4. Shrub stems/ha, 5200, dominated by American Hazel, Spicebush, Highbush Blueberry, Maple-leaved Viburnum, and Poison Ivy. Ground cover, 39%, Cinnamon Fern, Christmas Fern, New York Fern, Wild Sarsaparilla, and Jewelweed. Canopy cover, 77%; average canopy height 23.5 m (range 20-26 In)."
3,SECOND-GROWTH HARDWOOD FOREST,41.7,73.2,"Connecticut; Litchfield C0,; Morris; White Memorial Foundation; 41°42'N, 73°12'W; Litchfield Quadrangle, USGS.",See And. Field Notes 19:590-591 (1965) and]. Field Omit/ml. 64 (Suppl.):37-38 (1993).
3,SECOND-GROWTH HARDWOOD FOREST,41.7,73.2,"Connecticut; Litchfield C0.; Morris; White Memorial Foundation; 41°42'N, 73°12'W; Litchfield Quadrangle, USGS.",See And. Field Notes 19:590-591 (1965) and]. Field Ornithol. 64(Suppl.):37-38 (1993).
3,SECOND-GROWTH HARDWOOD FOREST,41.7,73.2,"Connecticut; Litchfield Co.; Morris; White Memorial Foundation; 41°42'N, 73°12'W; Litchfield Quadrangle, USGS.",See And. Field Notes 19:590-591 (1965) and]. Field Ornithol. 64(Suppl.):37-38 (1993).
3,SECOND-GROWTH HARDWOOD FOREST,41.7,73.2,"Connecticut; Litchfield Co.; Morris; White Memorial Foundation–Van Winkle Road; 41°42'N, 73°12'W; Litchfield Quadrangle, USGS.","See Aud. Field Notes 19:590–591 (1965), J. Field Ornithol. 64(Suppl.):37–38 (1993), and Bird Populations 8:126 (2007)."
3,SECOND-GROWTH HARDWOOD FOREST,41.7,73.2,"Connecticut; Litchfield Co.; Morris; White Memorial Foundation-Van Winkle Road; 41°42'N, 73°12'W; Litchfield Quadrangle, USGS.","See And. Field Notes 19:590-591 (1965), J. Field Ornithol. 64(Suppl.):37-38 (1993), and Bird Populations 8:126 (2007). A substantial amount of siltation has occurred in the seasonal steams that pass through the plot."
