"xllcorner","yllcorner","cellsize","nrows","ncols","band","units","scale","latitude","longitude","site","product","start","end","complete","modis_date","calendar_date","tile","proc_date","pixel","value"
"-7992376.03","3877000.85","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",34.86869,-87.60414," 2001","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000129","2000-05-08","h10v05","2015137052354",1,4489
"-7992376.03","3877000.85","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",34.86869,-87.60414," 2001","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000145","2000-05-24","h10v05","2015137094842",1,4951
"-7992376.03","3877000.85","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",34.86869,-87.60414," 2001","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000161","2000-06-09","h10v05","2015137044136",1,5433
"-7992376.03","3877000.85","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",34.86869,-87.60414," 2001","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000177","2000-06-25","h10v05","2015138073649",1,5823
"-7992376.03","3877000.85","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",34.86869,-87.60414," 2001","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000193","2000-07-11","h10v05","2015138073647",1,4604
"-7992376.03","3877000.85","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",34.86869,-87.60414," 2001","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000209","2000-07-27","h10v05","2015138074433",1,4844
"-7943728.15","3836229.29","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",34.50129,-86.68555," 2006","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000129","2000-05-08","h10v05","2015137052354",1,5006
"-7943728.15","3836229.29","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",34.50129,-86.68555," 2006","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000145","2000-05-24","h10v05","2015137094842",1,5836
"-7943728.15","3836229.29","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",34.50129,-86.68555," 2006","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000161","2000-06-09","h10v05","2015137044136",1,5205
"-7943728.15","3836229.29","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",34.50129,-86.68555," 2006","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000177","2000-06-25","h10v05","2015138073649",1,5228
"-7943728.15","3836229.29","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",34.50129,-86.68555," 2006","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000193","2000-07-11","h10v05","2015138073647",1,4514
"-7943728.15","3836229.29","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",34.50129,-86.68555," 2006","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000209","2000-07-27","h10v05","2015138074433",1,4714
"-7864733.34","3877000.85","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",34.86804,-86.20304," 2007","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000129","2000-05-08","h10v05","2015137052354",1,4853
"-7864733.34","3877000.85","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",34.86804,-86.20304," 2007","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000145","2000-05-24","h10v05","2015137094842",1,6155
"-7864733.34","3877000.85","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",34.86804,-86.20304," 2007","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000161","2000-06-09","h10v05","2015137044136",1,6165
"-7864733.34","3877000.85","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",34.86804,-86.20304," 2007","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000177","2000-06-25","h10v05","2015138073649",1,5647
"-7864733.34","3877000.85","231.656358264",1,1,"250m_16_days_EVI","EVI ratio - No units","0.0001",34.86804,-86.20304," 2007","MOD13Q1","2000-05-01","2000-07-31",TRUE,"A2000193","2000-07-11","h10v05","2015138073647",1,5362
