"year","stateroute","class","total.area","prop.landscape","legend"
2001,14002,4,342072,0.813003415321651,"Forest"
2001,14007,7,240178,0.537353036591232,"Grasslands"
2001,14009,4,252418,0.541048367217894,"Forest"
2001,14011,4,216738,0.56102940034479,"Forest"
2001,14012,6,236693,0.506369924117142,"Agricultural"
2001,14013,4,367783,0.854113543364871,"Forest"
2001,14016,7,231007,0.485367965004139,"Grasslands"
2001,14019,2,286176,0.552773855582963,"Urban"
2001,14025,7,277896,0.598091417404517,"Grasslands"
2001,14026,6,371857,0.742787001821727,"Agricultural"
2001,14033,6,373733,0.720672825686623,"Agricultural"
2001,14034,5,331805,0.656049683447946,"Shrubland"
2001,14041,5,456713,0.883682997664605,"Shrubland"
2001,14043,5,289943,0.567646408147523,"Shrubland"
2001,14044,5,401370,0.825488820927109,"Shrubland"
2001,14047,5,328940,0.700186679551884,"Shrubland"
2001,14048,5,307603,0.59796545986128,"Shrubland"
2001,14049,6,300859,0.611580344637626,"Agricultural"
2001,14050,2,247203,0.567210925561353,"Urban"
2001,14052,7,179147,0.387676800027699,"Grasslands"
2001,14055,4,190155,0.427725030534918,"Forest"
2001,14057,1,132306,0.272532334711382,"Open water"
2001,14063,5,362552,0.733222236603676,"Shrubland"
2001,14064,5,402208,0.930675107828437,"Shrubland"
2001,14070,5,353785,0.710991290087903,"Shrubland"
2001,14073,5,236277,0.472785664975838,"Shrubland"
2001,14089,6,256068,0.525855571870091,"Agricultural"
2001,14091,2,220222,0.49489535649356,"Urban"
2001,14093,5,200009,0.467288911733097,"Shrubland"
2001,14095,4,269811,0.863948126801153,"Forest"
2001,14098,4,122082,0.342330772250575,"Forest"
2001,14103,5,242356,0.614921661909293,"Shrubland"
2001,14105,2,254924,0.589024700201021,"Urban"
2001,14106,5,238603,0.508945902247781,"Shrubland"
2001,14109,5,484427,0.922310521826545,"Shrubland"
2001,14112,5,339060,0.744476696952797,"Shrubland"
2001,14113,4,246945,0.590370749340168,"Forest"
2001,14119,5,298613,0.73718135451794,"Shrubland"
2001,14121,5,249267,0.646536564109747,"Shrubland"
2001,14129,5,243395,0.706853189907532,"Shrubland"
2001,14130,5,153982,0.421399758077317,"Shrubland"
2001,14132,4,260877,0.598931058311963,"Forest"
2001,14133,5,267810,0.57403191995576,"Shrubland"
2001,14134,5,253562,0.542139720251611,"Shrubland"
2001,14137,5,234076,0.477978277427351,"Shrubland"
2001,14140,7,336231,0.676830262514267,"Grasslands"
2001,14141,7,173672,0.423785598727218,"Grasslands"
2001,14142,4,190143,0.459526801682053,"Forest"
2001,14149,6,331451,0.727193146041532,"Agricultural"
2001,14151,7,165935,0.328042401262074,"Grasslands"
2001,14152,7,213041,0.45257674798026,"Grasslands"
2001,14159,6,312289,0.629804114542473,"Agricultural"
2001,14160,4,202150,0.46153916404675,"Forest"
2001,14161,5,121084,0.333063766345937,"Shrubland"
2001,14163,7,175210,0.349791075645988,"Grasslands"
2001,14165,4,164001,0.373456087297105,"Forest"
2001,14167,4,387729,0.870114248654083,"Forest"
2001,14171,6,389755,0.791927421976593,"Agricultural"
2001,14172,2,170525,0.370479401758053,"Urban"
2001,14174,4,302680,0.90816623510668,"Forest"
2001,14175,4,306372,0.631658378485366,"Forest"
2001,14176,7,221014,0.43053361358452,"Grasslands"
2001,14181,4,383560,0.788637176729899,"Forest"
2001,14185,4,351351,0.864504366183668,"Forest"
2001,14186,7,164787,0.354073020429562,"Grasslands"
2001,14188,4,247217,0.618743226704243,"Forest"
2001,14189,4,159152,0.394754531000801,"Forest"
2001,14191,7,395181,0.852771208093084,"Grasslands"
2001,14195,6,164746,0.323978533319961,"Agricultural"
2001,14199,4,422284,0.845037841039618,"Forest"
2001,14201,4,336763,0.738888035632007,"Forest"
2001,14202,4,201509,0.386730459948797,"Forest"
2001,14203,7,285791,0.563908335372254,"Grasslands"
2001,14204,6,246500,0.505937842508631,"Agricultural"
2001,14210,4,310824,0.72899892347275,"Forest"
2001,14220,5,311946,0.678583082083611,"Shrubland"
2001,14226,5,277012,0.672437565541616,"Shrubland"
2001,14308,4,363959,0.75412536467312,"Forest"
2001,14313,4,245697,0.568114447440101,"Forest"
2001,14319,4,277064,0.708268466326674,"Forest"
2001,14320,6,461509,0.804203383687275,"Agricultural"
2001,14341,7,187871,0.451118485506272,"Grasslands"
2001,14352,6,343577,0.786588185735152,"Agricultural"
2001,14408,5,222466,0.447395358845805,"Shrubland"
2001,14409,4,310409,0.790971868311079,"Forest"
2001,14429,4,240078,0.749365587202497,"Forest"
2001,14435,4,335686,0.843608089124114,"Forest"
2001,14436,4,236404,0.513843545547417,"Forest"
2001,14536,4,230878,0.527937144568864,"Forest"
2001,14902,4,382163,0.885372334880143,"Forest"
2001,14903,4,338074,0.804556888521867,"Forest"
2001,14905,4,337641,0.843282407858358,"Forest"
2001,14908,4,290654,0.583651946216003,"Forest"
2001,14909,5,253773,0.618650720129497,"Shrubland"
2001,17004,4,134943,0.304467408226349,"Forest"
2001,17005,7,339815,0.696316529308345,"Grasslands"
2001,17006,7,416735,0.883178837701173,"Grasslands"
2001,17007,6,385437,0.765818069107751,"Agricultural"
2001,17008,4,310283,0.64949856298681,"Forest"
2001,17010,4,293615,0.633562419756816,"Forest"
2001,17013,7,238340,0.497067730014265,"Grasslands"
2001,17014,7,313757,0.6501913747692,"Grasslands"
2001,17015,4,279916,0.557163188327909,"Forest"
2001,17016,4,310667,0.690734898157474,"Forest"
2001,17018,5,248464,0.543767002019999,"Shrubland"
2001,17019,7,407794,0.807349802614125,"Grasslands"
2001,17020,7,287853,0.601417814401284,"Grasslands"
2001,17022,5,215944,0.449552724766994,"Shrubland"
2001,17026,7,430454,0.926386877258377,"Grasslands"
2001,17027,7,398325,0.815522829316032,"Grasslands"
2001,17028,6,322394,0.623732053343239,"Agricultural"
2001,17032,5,316893,0.632406089911812,"Shrubland"
2001,17033,5,308163,0.603819686650103,"Shrubland"
2001,17035,6,314157,0.644703656351775,"Agricultural"
2001,17036,7,366310,0.738782927178523,"Grasslands"
2001,17037,6,261790,0.535281248083097,"Agricultural"
2001,17038,5,270192,0.554150199249763,"Shrubland"
2001,17042,6,384408,0.778153846153846,"Agricultural"
2001,17043,6,387426,0.736002826790681,"Agricultural"
2001,17044,6,306339,0.573155490029524,"Agricultural"
2001,17045,4,359597,0.751516734762119,"Forest"
2001,17046,4,241397,0.486673763240554,"Forest"
2001,17047,5,263018,0.523011944934389,"Shrubland"
2001,17049,7,370258,0.770889027691026,"Grasslands"
2001,17050,7,336634,0.631794482960538,"Grasslands"
2001,17051,7,241507,0.506038763750655,"Grasslands"
2001,17052,4,442439,0.893613970172405,"Forest"
2001,17053,4,221155,0.483860028354891,"Forest"
2001,17055,5,271214,0.547058301463588,"Shrubland"
2001,17056,7,355322,0.716187289621672,"Grasslands"
2001,17057,7,303686,0.618060742480457,"Grasslands"
2001,17058,7,308796,0.612079611023126,"Grasslands"
2001,17125,5,386632,0.763669259424589,"Shrubland"
2001,17154,4,247345,0.538666753778475,"Forest"
2001,17202,4,336648,0.80202598231792,"Forest"
2001,17205,7,435432,0.84001041737,"Grasslands"
2001,17207,6,468747,0.881721582989577,"Agricultural"
2001,17210,4,330089,0.794371111940029,"Forest"
2001,17212,6,392735,0.7769146162459,"Agricultural"
2001,17213,7,240640,0.48471468828116,"Grasslands"
2001,17214,6,332729,0.654403810827502,"Agricultural"
2001,17222,4,329612,0.76620454312998,"Forest"
2001,17225,5,351069,0.719496574352837,"Shrubland"
2001,17228,6,284198,0.552656347230865,"Agricultural"
2001,17305,7,304993,0.59234248669141,"Grasslands"
2001,17307,7,267722,0.531478110340638,"Grasslands"
2001,17308,4,301639,0.697518302863248,"Forest"
2001,17314,6,371392,0.705872514473169,"Agricultural"
2001,17315,5,289919,0.574366583921563,"Shrubland"
2001,17319,7,481526,0.913053206416626,"Grasslands"
2001,17320,7,384446,0.740114854237536,"Grasslands"
2001,17321,6,376655,0.723429469203998,"Agricultural"
2001,17326,7,171469,0.410310097367558,"Grasslands"
