"aou","stateroute","n","occ","trans"
2881,4003,13,0.866666666666667,"core"
2881,4020,1,0.0666666666666667,"trans"
2881,4055,1,0.0666666666666667,"trans"
2881,4214,12,0.8,"core"
2881,33015,2,0.133333333333333,"trans"
2881,33204,3,0.2,"trans"
2881,33221,2,0.133333333333333,"trans"
2881,36014,2,0.133333333333333,"trans"
2881,36032,8,0.533333333333333,"core"
2881,36033,13,0.866666666666667,"core"
2881,45003,1,0.0666666666666667,"trans"
2881,45105,2,0.133333333333333,"trans"
2881,45218,3,0.2,"trans"
2881,50012,5,0.333333333333333,"trans"
2881,50013,3,0.2,"trans"
2881,50064,2,0.133333333333333,"trans"
2881,53007,4,0.266666666666667,"trans"
2881,53008,5,0.333333333333333,"trans"
2881,53019,1,0.0666666666666667,"trans"
2881,53041,2,0.133333333333333,"trans"
2881,53074,4,0.266666666666667,"trans"
2881,54017,1,0.0666666666666667,"trans"
2881,64005,3,0.2,"trans"
2881,64007,3,0.2,"trans"
2881,64011,3,0.2,"trans"
2881,64012,1,0.0666666666666667,"trans"
2881,64028,1,0.0666666666666667,"trans"
2881,64034,3,0.2,"trans"
2881,64043,4,0.266666666666667,"trans"
2881,68023,1,0.0666666666666667,"trans"
2881,75009,2,0.133333333333333,"trans"
2881,79112,1,0.0666666666666667,"trans"
2881,79123,9,0.6,"core"
2881,81001,5,0.333333333333333,"trans"
2881,92082,1,0.0666666666666667,"trans"
2882,17008,7,0.466666666666667,"core"
2882,17015,2,0.133333333333333,"trans"
2882,17903,1,0.0666666666666667,"trans"
2882,33204,4,0.266666666666667,"trans"
2882,33209,2,0.133333333333333,"trans"
2882,33214,3,0.2,"trans"
2882,33219,3,0.2,"trans"
2882,69008,15,1,"core"
2882,69230,15,1,"core"
2882,85104,6,0.4,"core"
2882,85112,3,0.2,"trans"
2882,85155,1,0.0666666666666667,"trans"
2882,85171,1,0.0666666666666667,"trans"
2882,89030,3,0.2,"trans"
2890,2001,15,1,"core"
2890,2007,15,1,"core"
2890,2020,15,1,"core"
2890,2025,15,1,"core"
2890,2028,15,1,"core"
2890,2033,15,1,"core"
2890,2035,15,1,"core"
2890,2036,13,0.866666666666667,"core"
2890,2038,15,1,"core"
2890,2039,15,1,"core"
2890,2048,12,0.8,"core"
2890,2051,15,1,"core"
2890,2052,15,1,"core"
2890,2053,14,0.933333333333333,"core"
2890,2054,15,1,"core"
2890,2063,14,0.933333333333333,"core"
2890,2066,15,1,"core"
2890,2068,15,1,"core"
2890,2072,14,0.933333333333333,"core"
2890,2111,15,1,"core"
2890,2142,15,1,"core"
2890,2205,14,0.933333333333333,"core"
2890,2207,15,1,"core"
2890,2211,14,0.933333333333333,"core"
2890,2212,14,0.933333333333333,"core"
2890,2218,15,1,"core"
2890,7001,15,1,"core"
2890,7002,13,0.866666666666667,"core"
2890,7007,13,0.866666666666667,"core"
2890,7016,13,0.866666666666667,"core"
2890,7022,14,0.933333333333333,"core"
2890,7026,15,1,"core"
2890,25015,14,0.933333333333333,"core"
2890,25017,15,1,"core"
2890,25018,15,1,"core"
2890,25021,15,1,"core"
2890,25024,13,0.866666666666667,"core"
2890,25053,15,1,"core"
2890,25132,14,0.933333333333333,"core"
2890,25901,13,0.866666666666667,"core"
2890,25905,13,0.866666666666667,"core"
2890,25911,15,1,"core"
2890,25912,7,0.466666666666667,"core"
2890,25916,15,1,"core"
2890,25920,15,1,"core"
2890,25922,13,0.866666666666667,"core"
2890,27004,15,1,"core"
2890,27007,15,1,"core"
2890,27041,1,0.0666666666666667,"trans"
2890,27044,10,0.666666666666667,"core"
2890,27045,15,1,"core"
2890,27048,15,1,"core"
2890,27051,15,1,"core"
2890,27117,15,1,"core"
2890,34001,11,0.733333333333333,"core"
2890,34023,15,1,"core"
2890,34036,15,1,"core"
2890,34050,15,1,"core"
2890,34057,15,1,"core"
2890,34077,15,1,"core"
2890,35021,15,1,"core"
2890,35022,15,1,"core"
2890,35028,15,1,"core"
2890,35037,15,1,"core"
2890,35041,15,1,"core"
2890,35115,6,0.4,"core"
2890,36014,4,0.266666666666667,"trans"
2890,36017,14,0.933333333333333,"core"
2890,38003,15,1,"core"
2890,38004,15,1,"core"
2890,38006,15,1,"core"
2890,38007,15,1,"core"
2890,38011,15,1,"core"
2890,38013,15,1,"core"
2890,38024,2,0.133333333333333,"trans"
2890,38025,12,0.8,"core"
2890,38027,15,1,"core"
2890,38031,15,1,"core"
2890,38032,15,1,"core"
2890,38035,15,1,"core"
2890,38118,15,1,"core"
2890,39021,15,1,"core"
2890,39025,15,1,"core"
2890,39026,15,1,"core"
2890,39036,15,1,"core"
2890,39041,15,1,"core"
2890,42122,8,0.533333333333333,"core"
2890,46004,1,0.0666666666666667,"trans"
2890,46008,1,0.0666666666666667,"trans"
2890,46027,11,0.733333333333333,"core"
2890,46028,11,0.733333333333333,"core"
2890,46035,15,1,"core"
2890,46041,15,1,"core"
2890,46112,3,0.2,"trans"
2890,46126,11,0.733333333333333,"core"
2890,46150,14,0.933333333333333,"core"
2890,47001,13,0.866666666666667,"core"
2890,49022,4,0.266666666666667,"trans"
2890,49039,1,0.0666666666666667,"trans"
2890,49041,1,0.0666666666666667,"trans"
2890,49070,10,0.666666666666667,"core"
2890,51028,15,1,"core"
2890,51902,12,0.8,"core"
2890,52007,15,1,"core"
2890,52008,14,0.933333333333333,"core"
2890,52019,15,1,"core"
2890,52056,15,1,"core"
2890,52057,15,1,"core"
2890,52061,15,1,"core"
2890,52067,15,1,"core"
2890,52070,15,1,"core"
2890,52109,14,0.933333333333333,"core"
2890,52126,15,1,"core"
2890,54001,13,0.866666666666667,"core"
2890,54004,14,0.933333333333333,"core"
2890,54014,15,1,"core"
2890,54017,14,0.933333333333333,"core"
2890,54022,9,0.6,"core"
2890,54025,12,0.8,"core"
2890,54027,6,0.4,"core"
2890,54035,15,1,"core"
2890,59013,3,0.2,"trans"
2890,59029,8,0.533333333333333,"core"
2890,59107,9,0.6,"core"
2890,59116,1,0.0666666666666667,"trans"
2890,60006,2,0.133333333333333,"trans"
2890,60074,4,0.266666666666667,"trans"
2890,60080,15,1,"core"
2890,60130,14,0.933333333333333,"core"
2890,61052,1,0.0666666666666667,"trans"
2890,63023,15,1,"core"
2890,63107,15,1,"core"
2890,63207,15,1,"core"
2890,63215,14,0.933333333333333,"core"
2890,63221,5,0.333333333333333,"trans"
2890,63222,9,0.6,"core"
2890,63224,15,1,"core"
2890,63225,15,1,"core"
2890,63905,12,0.8,"core"
2890,66039,3,0.2,"trans"
2890,66049,2,0.133333333333333,"trans"
2890,66067,7,0.466666666666667,"core"
2890,66074,12,0.8,"core"
2890,66086,13,0.866666666666667,"core"
2890,66087,9,0.6,"core"
2890,67007,15,1,"core"
2890,67031,15,1,"core"
2890,67051,15,1,"core"
2890,67057,15,1,"core"
2890,67065,15,1,"core"
2890,67070,13,0.866666666666667,"core"
2890,72009,1,0.0666666666666667,"trans"
2890,72038,1,0.0666666666666667,"trans"
2890,72071,2,0.133333333333333,"trans"
2890,72072,2,0.133333333333333,"trans"
2890,72076,1,0.0666666666666667,"trans"
2890,72182,1,0.0666666666666667,"trans"
2890,72193,2,0.133333333333333,"trans"
2890,80009,15,1,"core"
2890,80013,9,0.6,"core"
2890,80116,15,1,"core"
2890,80119,15,1,"core"
2890,81001,1,0.0666666666666667,"trans"
2890,82001,15,1,"core"
2890,82003,13,0.866666666666667,"core"
2890,82005,15,1,"core"
2890,82013,10,0.666666666666667,"core"
2890,82021,13,0.866666666666667,"core"
2890,82022,15,1,"core"
2890,82139,8,0.533333333333333,"core"
2890,83001,15,1,"core"
2890,83015,15,1,"core"
2890,83017,15,1,"core"
2890,83021,15,1,"core"
2890,83028,14,0.933333333333333,"core"
2890,83029,15,1,"core"
2890,83043,15,1,"core"
2890,83051,15,1,"core"
2890,83105,15,1,"core"
2890,83112,14,0.933333333333333,"core"
2890,83113,15,1,"core"
2890,83149,5,0.333333333333333,"trans"
2890,83321,6,0.4,"core"
2890,83326,13,0.866666666666667,"core"
2890,83327,15,1,"core"
2890,83347,5,0.333333333333333,"trans"
2890,83351,15,1,"core"
2890,83353,15,1,"core"
2890,83363,15,1,"core"
2890,87014,1,0.0666666666666667,"trans"
2890,88002,8,0.533333333333333,"core"
2890,88008,8,0.533333333333333,"core"
2890,88026,14,0.933333333333333,"core"
2890,88029,14,0.933333333333333,"core"
2890,88030,15,1,"core"
2890,88040,15,1,"core"
2890,88116,12,0.8,"core"
2890,88905,1,0.0666666666666667,"trans"
2890,88910,14,0.933333333333333,"core"
2890,88914,15,1,"core"
2890,88916,15,1,"core"
2890,88924,1,0.0666666666666667,"trans"
2890,89024,1,0.0666666666666667,"trans"
2890,89910,1,0.0666666666666667,"trans"
2890,90001,1,0.0666666666666667,"trans"
2890,90002,4,0.266666666666667,"trans"
2890,90027,1,0.0666666666666667,"trans"
2890,90034,5,0.333333333333333,"trans"
2890,90046,1,0.0666666666666667,"trans"
2890,90053,1,0.0666666666666667,"trans"
2890,91023,1,0.0666666666666667,"trans"
2890,91043,3,0.2,"trans"
2890,91066,4,0.266666666666667,"trans"
2920,14075,3,0.2,"trans"
2920,14082,11,0.733333333333333,"core"
2920,14156,12,0.8,"core"
2920,14179,14,0.933333333333333,"core"
2920,14185,13,0.866666666666667,"core"
2920,14199,9,0.6,"core"
2920,14902,11,0.733333333333333,"core"
2920,69019,2,0.133333333333333,"trans"
2920,69057,13,0.866666666666667,"core"
2920,69058,11,0.733333333333333,"core"
2920,69127,11,0.733333333333333,"core"
2920,69225,10,0.666666666666667,"core"
2930,6028,4,0.266666666666667,"trans"
2930,6133,7,0.466666666666667,"core"
2930,6900,15,1,"core"
2930,6901,15,1,"core"
2930,17058,9,0.6,"core"
2930,60003,1,0.0666666666666667,"trans"
2930,60005,1,0.0666666666666667,"trans"
2930,60006,12,0.8,"core"
2930,60008,3,0.2,"trans"
2930,60019,5,0.333333333333333,"trans"
2930,60067,12,0.8,"core"
2930,60070,11,0.733333333333333,"core"
2930,60074,14,0.933333333333333,"core"
2930,60080,14,0.933333333333333,"core"
2930,60126,15,1,"core"
2930,60130,15,1,"core"
2930,67070,9,0.6,"core"
2930,83105,11,0.733333333333333,"core"
2930,83112,11,0.733333333333333,"core"
2930,83113,3,0.2,"trans"
2930,83363,8,0.533333333333333,"core"
2930,85123,1,0.0666666666666667,"trans"
2940,14075,15,1,"core"
2940,14082,12,0.8,"core"
2940,14138,15,1,"core"
2940,14156,6,0.4,"core"
2940,14179,15,1,"core"
2940,14190,15,1,"core"
2940,14902,2,0.133333333333333,"trans"
2940,33002,6,0.4,"core"
2940,33029,2,0.133333333333333,"trans"
2940,33111,4,0.266666666666667,"trans"
2940,33204,15,1,"core"
2940,55114,15,1,"core"
2940,69008,14,0.933333333333333,"core"
2940,69019,11,0.733333333333333,"core"
