"stateroute","spRich","ndvi.mean","nbcd.point","nbcd.mean","nbcd.var","file"
2001,71,0.7914,0,28.8333333333333,4988.16666666667,"NBCD_MZ48_BAW_height.tif"
2006,53,0.788118424377555,0,0,0,"NBCD_MZ48_BAW_height.tif"
2007,56,0.817139218670725,0,0,0,"NBCD_MZ48_BAW_height.tif"
2014,67,0.797852146696605,0,24.7142857142857,4275.57142857143,"NBCD_MZ48_BAW_height.tif"
2017,66,0.802507647476901,0,83.4,13119.8,"NBCD_MZ48_BAW_height.tif"
2019,65,0.814432850241546,0,92,11296,"NBCD_MZ46_BAW_height.tif"
2020,66,0.830740952380952,0,73.7142857142857,8634.90476190476,"NBCD_MZ46_BAW_height.tif"
2021,58,0.825076811594203,169,173,110,"NBCD_MZ46_BAW_height.tif"
2022,59,0.804601877934272,167,55.8333333333333,7481.76666666667,"NBCD_MZ46_BAW_height.tif"
2023,64,0.810182380952381,174,140.6,6249.8,"NBCD_MZ46_BAW_height.tif"
2024,65,0.807946666666667,0,0,0,"NBCD_MZ46_BAW_height.tif"
2025,70,0.791702857142857,147,40.1428571428571,4714.14285714286,"NBCD_MZ46_BAW_height.tif"
2026,64,0.786893719806763,154,104.428571428571,5377.28571428571,"NBCD_MZ46_BAW_height.tif"
2027,68,0.812102857142857,158,54.5,7140.7,"NBCD_MZ46_BAW_height.tif"
2029,69,0.802280676328502,0,0,0,"NBCD_MZ46_BAW_height.tif"
2029,69,0.802280676328502,0,0,0,"NBCD_MZ55_BAW_height.tif"
2031,60,0.754298529411765,0,34.5,4761,"NBCD_MZ46_BAW_height.tif"
2033,60,0.807390196078431,0,38.5,5929,"NBCD_MZ46_BAW_height.tif"
2034,63,0.811513809523809,0,0,0,"NBCD_MZ46_BAW_height.tif"
2035,56,0.770058208955224,0,122.5,9467.9,"NBCD_MZ46_BAW_height.tif"
2036,65,0.827487439613527,171,177,90.6666666666667,"NBCD_MZ46_BAW_height.tif"
2038,60,0.796686567164179,0,26.5,4213.5,"NBCD_MZ46_BAW_height.tif"
2039,59,0.805587142857143,0,0,0,"NBCD_MZ46_BAW_height.tif"
