"stateroute","ndvi.mean","nbcd.point","nbcd.mean","nbcd.var","file"
2001,0.78070985915493,0,28.8333333333333,4988.16666666667,"NBCD_MZ48_BAW_height.tif"
2002,0.772268055555556,0,0,0,"NBCD_MZ48_BAW_height.tif"
2004,0.804701408450704,0,0,0,"NBCD_MZ48_BAW_height.tif"
2005,0.795044594594595,0,0,0,"NBCD_MZ48_BAW_height.tif"
2006,0.778052173913043,0,0,0,"NBCD_MZ48_BAW_height.tif"
2007,0.810832876712329,0,0,0,"NBCD_MZ48_BAW_height.tif"
2008,0.809591666666667,0,17.8571428571429,2232.14285714286,"NBCD_MZ48_BAW_height.tif"
2009,0.789159722222222,0,0,0,"NBCD_MZ48_BAW_height.tif"
2010,0.827830985915493,0,0,0,"NBCD_MZ54_BAW_height.tif"
2011,0.821685135135135,0,0,0,"NBCD_MZ48_BAW_height.tif"
2011,0.821685135135135,0,0,0,"NBCD_MZ54_BAW_height.tif"
2012,0.820867605633803,0,24.2857142857143,4128.57142857143,"NBCD_MZ48_BAW_height.tif"
2012,0.820867605633803,0,20,2800,"NBCD_MZ54_BAW_height.tif"
2013,0.805322222222222,0,0,0,"NBCD_MZ48_BAW_height.tif"
2014,0.791567605633803,0,24.7142857142857,4275.57142857143,"NBCD_MZ48_BAW_height.tif"
2015,0.797745714285714,0,28.6666666666667,4930.66666666667,"NBCD_MZ48_BAW_height.tif"
2016,0.817708823529412,0,0,0,"NBCD_MZ48_BAW_height.tif"
2017,0.795502857142857,0,83.4,13119.8,"NBCD_MZ48_BAW_height.tif"
2019,0.805892753623189,0,92,11296,"NBCD_MZ46_BAW_height.tif"
2020,0.819147142857143,0,73.7142857142857,8634.90476190476,"NBCD_MZ46_BAW_height.tif"
2021,0.820498550724638,169,173,110,"NBCD_MZ46_BAW_height.tif"
2022,0.791512676056338,167,55.8333333333333,7481.76666666667,"NBCD_MZ46_BAW_height.tif"
2023,0.803787142857143,174,140.6,6249.8,"NBCD_MZ46_BAW_height.tif"
2024,0.796931428571429,0,0,0,"NBCD_MZ46_BAW_height.tif"
2025,0.784425714285714,147,40.1428571428571,4714.14285714286,"NBCD_MZ46_BAW_height.tif"
2026,0.782397101449275,154,104.428571428571,5377.28571428571,"NBCD_MZ46_BAW_height.tif"
2027,0.801548571428571,158,54.5,7140.7,"NBCD_MZ46_BAW_height.tif"
2028,0.8006625,208,52,10816,"NBCD_MZ54_BAW_height.tif"
2029,0.794172463768116,0,0,0,"NBCD_MZ46_BAW_height.tif"
2029,0.794172463768116,0,0,0,"NBCD_MZ55_BAW_height.tif"
2030,0.739739705882353,158,115.428571428571,6341.28571428571,"NBCD_MZ46_BAW_height.tif"
2031,0.740595588235294,0,34.5,4761,"NBCD_MZ46_BAW_height.tif"
2032,0.790212857142857,0,76.2,10923.2,"NBCD_MZ46_BAW_height.tif"
2033,0.788105882352941,0,38.5,5929,"NBCD_MZ46_BAW_height.tif"
2034,0.794707142857143,0,0,0,"NBCD_MZ46_BAW_height.tif"
2035,0.753480597014925,0,122.5,9467.9,"NBCD_MZ46_BAW_height.tif"
2036,0.810963768115942,171,177,90.6666666666667,"NBCD_MZ46_BAW_height.tif"
2037,0.77400294117647,185,186.666666666667,153.466666666667,"NBCD_MZ46_BAW_height.tif"
2038,0.780965671641791,0,26.5,4213.5,"NBCD_MZ46_BAW_height.tif"
2039,0.796148571428571,0,0,0,"NBCD_MZ46_BAW_height.tif"
2040,0.429577505446623,174,161,122,"NBCD_MZ46_BAW_height.tif"
2041,0.576133549174174,0,0,0,"NBCD_MZ46_BAW_height.tif"
2042,0.551591156462585,0,0,0,"NBCD_MZ46_BAW_height.tif"
2043,0.809371428571429,0,0,0,"NBCD_MZ48_BAW_height.tif"
2044,0.794901428571428,0,0,0,"NBCD_MZ48_BAW_height.tif"
2045,0.811687671232877,0,0,0,"NBCD_MZ46_BAW_height.tif"
2045,0.811687671232877,0,0,0,"NBCD_MZ48_BAW_height.tif"
2046,0.79121,0,0,0,"NBCD_MZ48_BAW_height.tif"
2047,0.819622535211268,168,163,263.2,"NBCD_MZ46_BAW_height.tif"
2048,0.826294202898551,0,0,0,"NBCD_MZ46_BAW_height.tif"
2049,0.81385,0,0,0,"NBCD_MZ46_BAW_height.tif"
2050,0.787941428571429,177,101.6,8645.3,"NBCD_MZ46_BAW_height.tif"
2051,0.798827536231884,0,29.6666666666667,5280.66666666667,"NBCD_MZ46_BAW_height.tif"
2051,0.798827536231884,0,33.1666666666667,6600.16666666667,"NBCD_MZ54_BAW_height.tif"
2052,0.778820289855073,0,58.5,8214.3,"NBCD_MZ46_BAW_height.tif"
2053,0.809764285714286,0,28.3333333333333,4816.66666666667,"NBCD_MZ46_BAW_height.tif"
2054,0.755112857142857,0,48.3333333333333,5639.06666666667,"NBCD_MZ46_BAW_height.tif"
2055,0.778217647058823,167,45.5714285714286,6075.95238095238,"NBCD_MZ46_BAW_height.tif"
2056,0.81133698630137,0,23.1666666666667,3220.16666666667,"NBCD_MZ48_BAW_height.tif"
2057,0.794493055555556,0,32.5,6337.5,"NBCD_MZ48_BAW_height.tif"
2058,0.801347826086956,0,65.6666666666667,10349.4666666667,"NBCD_MZ48_BAW_height.tif"
2059,0.818974647887324,167,78.25,8237.58333333333,"NBCD_MZ46_BAW_height.tif"
2060,0.809927941176471,0,89.6666666666667,9784.26666666667,"NBCD_MZ48_BAW_height.tif"
2061,0.800342253521127,0,22.5,3037.5,"NBCD_MZ48_BAW_height.tif"
2062,0.819443661971831,0,64.1666666666667,9934.56666666667,"NBCD_MZ48_BAW_height.tif"
2062,0.819443661971831,0,72,12443.2,"NBCD_MZ54_BAW_height.tif"
2063,0.796489855072464,0,0,0,"NBCD_MZ46_BAW_height.tif"
2064,0.808282352941177,0,76,7702,"NBCD_MZ54_BAW_height.tif"
2065,0.795950724637681,158,149.75,122.916666666667,"NBCD_MZ46_BAW_height.tif"
2066,0.774487142857143,148,135.857142857143,3685.80952380952,"NBCD_MZ46_BAW_height.tif"
2067,0.77675223880597,185,154.5,5939.5,"NBCD_MZ46_BAW_height.tif"
2068,0.737004285714286,0,63.8571428571429,6519.47619047619,"NBCD_MZ46_BAW_height.tif"
2069,0.762777464788732,0,0,0,"NBCD_MZ46_BAW_height.tif"
2070,0.513476666666667,0,25.6666666666667,3952.66666666667,"NBCD_MZ46_BAW_height.tif"
2071,0.767604166666667,0,0,0,"NBCD_MZ48_BAW_height.tif"
2072,0.763544927536232,0,0,0,"NBCD_MZ48_BAW_height.tif"
2073,0.822407142857143,0,42.75,7310.25,"NBCD_MZ48_BAW_height.tif"
2102,0.774076388888889,0,0,0,"NBCD_MZ48_BAW_height.tif"
2105,0.794294366197183,0,0,0,"NBCD_MZ48_BAW_height.tif"
2109,0.78893661971831,196,166.833333333333,7054.96666666667,"NBCD_MZ48_BAW_height.tif"
2111,0.821712328767123,0,55.6666666666667,7485.46666666667,"NBCD_MZ48_BAW_height.tif"
2111,0.821712328767123,0,46.1666666666667,5151.36666666667,"NBCD_MZ54_BAW_height.tif"
2137,0.77400294117647,182,132,7768,"NBCD_MZ46_BAW_height.tif"
2140,0.428189386420032,150,148.5,3.1,"NBCD_MZ46_BAW_height.tif"
2141,0.576133549174174,0,0,0,"NBCD_MZ46_BAW_height.tif"
2142,0.572578784013606,0,33.2,5511.2,"NBCD_MZ46_BAW_height.tif"
2156,0.811887837837838,0,0,0,"NBCD_MZ48_BAW_height.tif"
2162,0.817428767123288,0,0,0,"NBCD_MZ48_BAW_height.tif"
2162,0.817428767123288,0,0,0,"NBCD_MZ54_BAW_height.tif"
2164,0.808282352941177,0,101.4,9002.3,"NBCD_MZ54_BAW_height.tif"
2201,0.810580555555556,145,150.75,18.9166666666667,"NBCD_MZ46_BAW_height.tif"
2203,0.772023529411765,0,0,0,"NBCD_MZ48_BAW_height.tif"
2204,0.811509722222222,0,0,0,"NBCD_MZ48_BAW_height.tif"
2205,0.807947142857143,0,109.166666666667,7342.16666666667,"NBCD_MZ46_BAW_height.tif"
2206,0.806434285714286,211,93.8333333333333,10728.9666666667,"NBCD_MZ48_BAW_height.tif"
2207,0.805397222222222,199,176.571428571429,6125.61904761905,"NBCD_MZ48_BAW_height.tif"
2208,0.816726086956522,0,0,0,"NBCD_MZ48_BAW_height.tif"
2208,0.816726086956522,0,0,0,"NBCD_MZ54_BAW_height.tif"
2209,0.819015492957746,0,25.5,3901.5,"NBCD_MZ54_BAW_height.tif"
2210,0.802861428571429,149,99.3333333333333,5926.66666666667,"NBCD_MZ46_BAW_height.tif"
2211,0.770894117647059,236,228.6,125.8,"NBCD_MZ46_BAW_height.tif"
2212,0.787319117647059,0,0,0,"NBCD_MZ46_BAW_height.tif"
2212,0.787319117647059,0,0,0,"NBCD_MZ54_BAW_height.tif"
2213,0.773321739130435,0,0,0,"NBCD_MZ46_BAW_height.tif"
2214,0.810382089552239,127,81.8,5829.2,"NBCD_MZ46_BAW_height.tif"
2215,0.809042424242424,0,72.8571428571429,8271.47619047619,"NBCD_MZ46_BAW_height.tif"
2216,0.774797101449276,0,57.5,7971.1,"NBCD_MZ46_BAW_height.tif"
2217,0.617951576005002,150,74.5,7401,"NBCD_MZ46_BAW_height.tif"
2218,0.739694202898551,0,82.3333333333333,8198.66666666667,"NBCD_MZ46_BAW_height.tif"
2306,0.806271014492754,0,27.7142857142857,5376.57142857143,"NBCD_MZ48_BAW_height.tif"
2750,0.787669863013699,0,0,0,"NBCD_MZ48_BAW_height.tif"
2751,0.809834285714286,0,0,0,"NBCD_MZ48_BAW_height.tif"
2752,0.797401470588235,191,60.8333333333333,8910.56666666667,"NBCD_MZ46_BAW_height.tif"
2753,0.792640579710145,0,0,0,"NBCD_MZ46_BAW_height.tif"
2754,0.679851876978743,0,0,0,"NBCD_MZ46_BAW_height.tif"
3001,0.792228057553957,NA,NA,NA,NA
3002,0.795086111111111,NA,NA,NA,NA
3003,0.82461307568438,NA,NA,NA,NA
3004,0.827972388059702,NA,NA,NA,NA
3005,0.832466901408451,NA,NA,NA,NA
3006,0.6568392,NA,NA,NA,NA
3007,0.784310317460317,NA,NA,NA,NA
3008,0.749658015267176,NA,NA,NA,NA
3009,0.747096233811647,NA,NA,NA,NA
3010,0.786850393700787,NA,NA,NA,NA
3011,0.758640715843023,NA,NA,NA,NA
3012,0.688314405176097,NA,NA,NA,NA
3013,0.643818939393939,NA,NA,NA,NA
3015,0.583927294069651,NA,NA,NA,NA
3016,0.573820287488535,NA,NA,NA,NA
3017,0.786857627118644,NA,NA,NA,NA
3018,0.722245126258542,NA,NA,NA,NA
3019,0.63426817989418,NA,NA,NA,NA
3020,0.710610799261819,NA,NA,NA,NA
3021,0.651474524648992,NA,NA,NA,NA
3023,0.696901869158879,NA,NA,NA,NA
3024,0.634684306249095,NA,NA,NA,NA
3025,0.51895072360218,NA,NA,NA,NA
3026,0.705715148766328,NA,NA,NA,NA
3028,0.754535406026558,NA,NA,NA,NA
3029,0.69120773088263,NA,NA,NA,NA
3030,0.856771544715447,NA,NA,NA,NA
3031,0.682807707762557,NA,NA,NA,NA
3040,0.848726865671642,NA,NA,NA,NA
3041,0.842608823529412,NA,NA,NA,NA
