"stateroute","ndvi.mean","nbcd.point","nbcd.mean","nbcd.var","file"
2001,0.7914,0,28.8333333333333,4988.16666666667,"NBCD_MZ48_BAW_height.tif"
2002,0.782210848535102,0,0,0,"NBCD_MZ48_BAW_height.tif"
2004,0.813651956181534,0,0,0,"NBCD_MZ48_BAW_height.tif"
2005,0.807392187710098,0,0,0,"NBCD_MZ48_BAW_height.tif"
2006,0.788118424377555,0,0,0,"NBCD_MZ48_BAW_height.tif"
2007,0.817139218670725,0,0,0,"NBCD_MZ48_BAW_height.tif"
2008,0.812507668231612,0,17.8571428571429,2232.14285714286,"NBCD_MZ48_BAW_height.tif"
2009,0.796208554750403,0,0,0,"NBCD_MZ48_BAW_height.tif"
2010,0.829938497652582,0,0,0,"NBCD_MZ54_BAW_height.tif"
2011,0.822180630630631,0,0,0,"NBCD_MZ48_BAW_height.tif"
2011,0.822180630630631,0,0,0,"NBCD_MZ54_BAW_height.tif"
2012,0.821019248826291,0,24.2857142857143,4128.57142857143,"NBCD_MZ48_BAW_height.tif"
2012,0.821019248826291,0,20,2800,"NBCD_MZ54_BAW_height.tif"
2013,0.81175917989418,0,0,0,"NBCD_MZ48_BAW_height.tif"
2014,0.797852146696605,0,24.7142857142857,4275.57142857143,"NBCD_MZ48_BAW_height.tif"
2015,0.803697128642502,0,28.6666666666667,4930.66666666667,"NBCD_MZ48_BAW_height.tif"
2016,0.827380600118835,0,0,0,"NBCD_MZ48_BAW_height.tif"
2017,0.802507647476901,0,83.4,13119.8,"NBCD_MZ48_BAW_height.tif"
2019,0.814432850241546,0,92,11296,"NBCD_MZ46_BAW_height.tif"
2020,0.830740952380952,0,73.7142857142857,8634.90476190476,"NBCD_MZ46_BAW_height.tif"
2021,0.825076811594203,169,173,110,"NBCD_MZ46_BAW_height.tif"
2022,0.804601877934272,167,55.8333333333333,7481.76666666667,"NBCD_MZ46_BAW_height.tif"
2023,0.810182380952381,174,140.6,6249.8,"NBCD_MZ46_BAW_height.tif"
2024,0.807946666666667,0,0,0,"NBCD_MZ46_BAW_height.tif"
2025,0.791702857142857,147,40.1428571428571,4714.14285714286,"NBCD_MZ46_BAW_height.tif"
2026,0.786893719806763,154,104.428571428571,5377.28571428571,"NBCD_MZ46_BAW_height.tif"
2027,0.812102857142857,158,54.5,7140.7,"NBCD_MZ46_BAW_height.tif"
2028,0.812413425925926,208,52,10816,"NBCD_MZ54_BAW_height.tif"
2029,0.802280676328502,0,0,0,"NBCD_MZ46_BAW_height.tif"
2029,0.802280676328502,0,0,0,"NBCD_MZ55_BAW_height.tif"
2030,0.757999019607843,158,115.428571428571,6341.28571428571,"NBCD_MZ46_BAW_height.tif"
2031,0.754298529411765,0,34.5,4761,"NBCD_MZ46_BAW_height.tif"
2032,0.811050476190476,0,76.2,10923.2,"NBCD_MZ46_BAW_height.tif"
2033,0.807390196078431,0,38.5,5929,"NBCD_MZ46_BAW_height.tif"
2034,0.811513809523809,0,0,0,"NBCD_MZ46_BAW_height.tif"
2035,0.770058208955224,0,122.5,9467.9,"NBCD_MZ46_BAW_height.tif"
