"Common_name","Scientific_name","Synonyms","Alt_common_names","SISRecID","genus","species","species_id","aou","english_common_name","sporder","family","nHabitats1","nHabitats2","index","major","marginal","suitable","weighted","Tol","OMI","volume"
"Muscovy Duck","Cairina moschata","","",22680061,"Cairina","moschata",28,10210,"Muscovy Duck","Anseriformes","Anatidae",2,5,0.764705882352941,0,0,5,2,NA,NA,NA
"Mountain Quail","Oreortyx pictus","","",22679591,"Oreortyx","pictus",84,2920,"Mountain Quail","Galliformes","Odontophoridae",3,3,0.882352941176471,0,1,2,1.66666666666667,0.544837506,8.127888497,0.202111985694465
"Northern Bobwhite","Colinus virginianus","","Bobwhite, Bobwhite Quail",22728956,"Colinus","virginianus",89,2890,"Northern Bobwhite","Galliformes","Odontophoridae",4,5,0.764705882352941,0,0,5,2,0.702806355,2.886976375,1.61565299314395
"Scaled Quail","Callipepla squamata","","",22679594,"Callipepla","squamata",91,2930,"Scaled Quail","Galliformes","Odontophoridae",2,2,0.941176470588235,2,0,0,3,0.289682163,9.488421192,0.57536860058206
"California Quail","Callipepla californica","Lophortyx californica","",22679603,"Callipepla","californica",93,2940,"California Quail","Galliformes","Odontophoridae",5,8,0.588235294117647,0,0,8,2,0.596121595,3.286222762,0.50369109864936
"Gambel's Quail","Callipepla gambelii","Lophortyx gambelii","",22679609,"Callipepla","gambelii",94,2950,"Gambel's Quail","Galliformes","Odontophoridae",3,3,0.882352941176471,1,0,2,2.33333333333333,0.429845498,12.21831011,NA
"Chukar","Alectoris chukar","","Chuckar, Chukar Partridge, Perdrix chukar",22678691,"Alectoris","chukar",99,2882,"Chukar","Galliformes","Phasianidae",2,2,0.941176470588235,0,0,2,2,0.908859864,9.791359851,0.511831145703362
"Grey Partridge","Perdix perdix","","Partridge, Gray Partridge",22678911,"Perdix","perdix",102,2881,"Gray Partridge","Galliformes","Phasianidae",3,3,0.882352941176471,0,0,3,2,0.416770198,3.620746627,1.86951577163408
"Common Pheasant","Phasianus colchicus","","",45100023,"Phasianus","colchicus",103,3091,"Ring-necked Pheasant","Galliformes","Phasianidae",3,3,0.882352941176471,0,0,3,2,0.639370212,0.974897295,1.97304035279365
"Ruffed Grouse","Bonasa umbellus","","",22679500,"Bonasa","umbellus",105,3000,"Ruffed Grouse","Galliformes","Phasianidae",1,2,0.941176470588235,0,0,2,2,0.501710523,2.395579591,0.943037020385806
